Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LN00000,Male,Yes,0,Graduate,No,7024,3015,212,360,0.0,Semiurban,N
LN00001,Female,Yes,1,Graduate,Yes,3913,2413,163,360,1.0,Semiurban,Y
LN00002,Male,No,0,Graduate,No,7604,2653,167,120,1.0,Urban,Y
LN00003,Male,Yes,0,Not Graduate,Yes,3103,5384,146,360,1.0,Semiurban,Y
LN00004,Male,No,0,Graduate,No,7945,2292,134,360,1.0,Rural,Y
LN00005,Female,Yes,0,Graduate,No,5348,1102,170,360,1.0,Semiurban,Y
LN00006,Male,No,0,Graduate,No,5799,1310,226,360,0.0,Rural,N
LN00007,Male,No,0,Graduate,No,2991,3952,50,360,1.0,Semiurban,N
LN00008,Male,Yes,0,Graduate,No,6458,0,243,60,1.0,Semiurban,N
LN00009,Female,Yes,0,Graduate,No,6527,3356,99,360,1.0,Urban,Y
LN00010,Male,Yes,0,Not Graduate,No,4351,1524,159,360,0.0,Semiurban,N
LN00011,Male,No,0,Graduate,No,732,252,64,360,1.0,Semiurban,N
LN00012,Male,Yes,3+,Graduate,No,2773,0,224,60,1.0,Urban,N
LN00013,Male,Yes,0,Graduate,No,2773,3720,80,360,0.0,Urban,N
LN00014,Female,Yes,2,Graduate,No,5898,213,206,360,1.0,Semiurban,N
LN00015,Male,Yes,2,Graduate,No,4069,1593,137,360,1.0,Semiurban,Y
LN00016,Female,Yes,0,Not Graduate,No,4108,37,141,360,1.0,Urban,Y
LN00017,Female,Yes,1,Graduate,No,3867,4448,87,360,1.0,Semiurban,Y
LN00018,Female,Yes,0,Not Graduate,No,7938,1647,210,360,1.0,Semiurban,N
LN00019,Male,No,1,Not Graduate,No,5090,0,142,60,1.0,Semiurban,Y
LN00020,Female,Yes,0,Graduate,No,5395,856,185,360,1.0,Rural,Y
LN00021,Male,Yes,2,Graduate,No,3761,3589,50,360,1.0,Urban,Y
LN00022,Female,No,0,Graduate,No,4940,34,105,360,1.0,Semiurban,Y
LN00023,Female,No,1,Graduate,No,3048,957,162,360,0.0,Semiurban,N
LN00024,Female,No,0,Graduate,No,5687,3280,71,360,1.0,Urban,Y
LN00025,Female,Yes,2,Graduate,No,2706,2013,168,360,1.0,Rural,N
LN00026,Female,Yes,0,Graduate,Yes,6488,0,116,360,1.0,Urban,Y
LN00027,Female,Yes,1,Not Graduate,No,3530,1835,111,360,1.0,Urban,Y
LN00028,Female,No,0,Graduate,No,6896,1270,175,60,1.0,Semiurban,Y
LN00029,Female,Yes,0,Graduate,No,8814,1578,158,180,1.0,Semiurban,Y
LN00030,Male,Yes,1,Graduate,No,5002,2919,93,60,1.0,Semiurban,Y
LN00031,Male,Yes,3+,Graduate,Yes,7623,1860,206,120,1.0,Rural,N
LN00032,Female,Yes,0,Graduate,No,6502,1360,175,180,1.0,Semiurban,Y
LN00033,Female,Yes,3+,Not Graduate,No,2134,1287,50,360,1.0,Rural,N
LN00034,Female,Yes,1,Graduate,No,5221,3115,134,360,1.0,Rural,Y
LN00035,Male,Yes,2,Graduate,Yes,6002,419,168,360,1.0,Rural,Y
LN00036,Female,Yes,0,Graduate,No,6195,0,144,360,1.0,Urban,Y
LN00037,Male,No,0,Graduate,No,5356,1162,50,180,1.0,Semiurban,Y
LN00038,Male,No,2,Graduate,No,5330,2067,153,360,1.0,Semiurban,Y
LN00039,Male,No,0,Not Graduate,No,5010,875,187,360,1.0,Urban,Y
LN00040,Male,No,0,Not Graduate,No,5266,711,145,120,1.0,Urban,Y
LN00041,Male,Yes,0,Graduate,No,2552,953,152,360,1.0,Semiurban,N
LN00042,Female,Yes,0,Graduate,No,4527,1463,200,360,1.0,Urban,Y
LN00043,Female,Yes,1,Graduate,No,2094,0,70,360,0.0,Semiurban,N
LN00044,Female,Yes,1,Graduate,No,4004,2492,186,360,1.0,Semiurban,Y
LN00045,Female,Yes,0,Graduate,No,3818,0,166,360,1.0,Semiurban,Y
LN00046,Female,Yes,0,Graduate,No,3690,2310,68,360,1.0,Urban,Y
LN00047,Male,Yes,0,Graduate,Yes,2895,1969,184,360,1.0,Semiurban,N
LN00048,Female,Yes,0,Graduate,Yes,5538,2245,240,360,1.0,Urban,N
LN00049,Female,Yes,0,Graduate,No,4363,0,166,360,1.0,Urban,Y
LN00050,Male,Yes,2,Graduate,No,4159,1939,177,120,1.0,Urban,Y
